file,Number of Packets,Median Time Between Packets,Bytes Down,Bytes Up,Number of Flows,Average Download Speed
14,16481.0,3.1e-05,17203278.0,397027.0,63.0,49.855000000000004
140,4389.0,0.00013,15752956.0,239255.0,67.0,801.855
141,4269.0,8.5e-05,15632910.0,228197.0,61.0,824.49
142,4289.0,0.000146,15746080.0,231230.0,63.0,550.595
143,4368.0,0.000127,15752683.0,232540.0,63.0,350.68
144,3969.0,0.0001075,15731647.0,224301.0,63.0,357.995
145,4172.0,0.000109,15737950.0,221287.0,61.0,354.46500000000003
146,4124.0,0.00014,15744664.0,224172.0,63.0,413.68499999999995
147,4295.0,0.00016,15745879.0,232955.0,65.0,372.63
148,4146.0,0.000122,15748840.0,224929.0,63.0,351.35
149,14870.0,2.8e-05,16370330.0,322568.0,63.0,65.62
15,15658.0,3.1e-05,16376037.0,365942.0,63.0,65.60499999999999
150,14137.0,2.9e-05,14609245.0,351920.0,63.0,68.52000000000001
151,12623.0,0.0009805,10002096.0,467921.0,63.0,
152,3913.0,0.000114,15729646.0,218056.0,63.0,436.855
153,4124.0,0.00012,15744878.0,227058.0,65.0,422.265
154,3910.0,0.000106,14068257.0,221675.0,63.0,352.385
155,4150.0,0.000128,15739699.0,228939.0,65.0,469.245
156,13644.0,3e-05,14613343.0,322345.0,63.0,66.075
157,15609.0,2.9e-05,16369971.0,371804.0,63.0,59.709999999999994
158,15036.0,2.8e-05,16352499.0,337512.0,63.0,62.449999999999996
159,15038.0,2.9e-05,16360521.0,334420.0,61.0,68.595
16,4135.0,0.000102,15743830.0,223926.0,65.0,767.0450000000001
160,3424.0,0.000156,15147067.0,223283.0,65.0,355.18
161,3885.0,9.2e-05,15359504.0,215288.0,61.0,500.655
162,14890.0,3e-05,16359656.0,323208.0,61.0,65.63499999999999
163,14549.0,3e-05,15659021.0,345724.0,65.0,68.06
164,4101.0,8.5e-05,16519544.0,225407.0,65.0,356.975
165,4041.0,0.0001125,15758960.0,222946.0,63.0,313.49
166,4187.0,0.000102,15746263.0,225073.0,61.0,351.68
167,3979.0,8.4e-05,15506441.0,222620.0,63.0,346.22
168,4038.0,9.4e-05,15664945.0,226447.0,63.0,356.875
169,4045.0,9.3e-05,15667131.0,224733.0,61.0,446.265
17,4352.0,0.000133,15748910.0,235950.0,65.0,783.28
170,15428.0,3e-05,16362575.0,360520.0,63.0,68.295
171,15336.0,2.9e-05,16360180.0,356371.0,65.0,63.31
172,4368.0,0.000135,15743783.0,236198.0,61.0,343.63
173,3912.0,0.000118,14058159.0,222895.0,65.0,346.4
174,3707.0,0.000119,14051378.0,224251.0,63.0,384.45
175,3736.0,0.00011,15624237.0,213503.0,65.0,342.805
176,15169.0,3.1e-05,15427306.0,396427.0,61.0,30.97
177,3678.0,0.000104,15723644.0,230232.0,67.0,344.305
178,3954.0,0.000119,14058521.0,229921.0,61.0,430.83000000000004
179,4030.0,0.000108,15745324.0,226473.0,65.0,354.96500000000003
18,4780.0,0.000119,15765352.0,251474.0,65.0,663.415
180,4362.0,0.000152,15752434.0,241718.0,63.0,356.25
181,3864.0,9.4e-05,14037609.0,218793.0,65.0,353.76
182,3835.0,9.3e-05,15733610.0,217974.0,65.0,348.57500000000005
183,15718.0,3e-05,17236813.0,343059.0,63.0,68.78999999999999
184,15385.0,3e-05,16358231.0,356994.0,63.0,
185,3845.0,9.4e-05,15508768.0,209408.0,63.0,762.935
186,4049.0,8.5e-05,15547508.0,224008.0,65.0,
187,4010.0,0.000107,15732956.0,228421.0,65.0,856.66
188,4304.0,0.00014,15751947.0,230342.0,63.0,815.105
189,3600.0,0.000115,14010189.0,213346.0,63.0,794.05
19,4626.0,0.000115,15748169.0,250601.0,65.0,739.0999999999999
190,3963.0,0.000152,14042102.0,229607.0,63.0,701.0
191,4082.0,9.4e-05,15755022.0,222826.0,63.0,818.8
192,4049.0,8.1e-05,15742022.0,224988.0,63.0,750.1949999999999
193,3990.0,0.00012,15738059.0,224743.0,61.0,823.69
194,14775.0,2.9e-05,16362041.0,318960.0,63.0,63.480000000000004
195,14675.0,2.9e-05,16351494.0,309927.0,63.0,64.63499999999999
196,4124.0,8.1e-05,15663860.0,219206.0,63.0,776.48
197,3836.0,0.000116,15728291.0,227371.0,65.0,788.755
198,15988.0,3e-05,16366117.0,396474.0,63.0,35.835
199,3835.0,9.1e-05,15017347.0,220590.0,59.0,762.4100000000001
2,15155.0,3e-05,16361903.0,339946.0,63.0,66.31
20,14845.0,7.3e-05,14613474.0,400182.0,67.0,19.07
200,3961.0,0.0001155,15509021.0,229849.0,65.0,769.755
201,15257.0,0.000845,13198387.0,488016.0,63.0,6.734999999999999
202,16282.0,0.000734,14537044.0,506031.0,65.0,8.364999999999998
203,15434.0,3e-05,16367921.0,359224.0,63.0,41.105000000000004
204,14828.0,2.9e-05,16355709.0,315898.0,63.0,66.155
205,15061.0,2.9e-05,16382259.0,339216.0,65.0,66.10499999999999
206,4177.0,0.000126,15743877.0,231126.0,63.0,764.675
207,4130.0,8.5e-05,15633082.0,221677.0,65.0,800.145
208,14666.0,3.1e-05,15433919.0,353323.0,63.0,41.43000000000001
209,14699.0,3e-05,14614251.0,390295.0,65.0,40.79
21,4543.0,0.000126,14081822.0,254508.0,65.0,834.735
210,4027.0,8.6e-05,15743213.0,223205.0,65.0,747.44
211,3714.0,0.000111,15428711.0,217555.0,63.0,771.125
212,14328.0,3e-05,14608843.0,365846.0,65.0,66.88
213,14857.0,3e-05,15583193.0,352017.0,61.0,66.28
214,3621.0,0.000103,14052855.0,221389.0,65.0,808.63
215,4493.0,0.0001435,16544856.0,243436.0,61.0,837.1700000000001
216,15306.0,2.9e-05,16364348.0,349589.0,63.0,66.245
217,15127.0,2.9e-05,16366575.0,339199.0,61.0,66.03999999999999
218,3879.0,0.0001,15731141.0,224675.0,63.0,849.775
219,3983.0,9.1e-05,15323166.0,226970.0,63.0,852.87
22,4761.0,0.000115,15756838.0,252832.0,65.0,814.02
220,4255.0,0.0001015,15746504.0,233391.0,61.0,867.2149999999999
221,14731.0,3e-05,16360687.0,314595.0,63.0,66.69
222,15132.0,2.9e-05,16361626.0,339057.0,61.0,66.465
223,15038.0,3e-05,16359907.0,334391.0,63.0,66.59
224,14784.0,3e-05,16362834.0,317271.0,63.0,66.17
225,15266.0,2.9e-05,16363284.0,347672.0,61.0,66.72999999999999
226,14996.0,3e-05,16363446.0,331606.0,61.0,66.44999999999999
227,15118.0,3e-05,16361119.0,339065.0,65.0,67.02
228,15117.0,2.9e-05,16356332.0,335951.0,61.0,65.945
229,3911.0,0.0001,15418639.0,219221.0,61.0,881.245
23,4809.0,0.00012,15764250.0,256946.0,65.0,818.715
230,4366.0,0.000165,15741407.0,241026.0,61.0,832.96
231,15183.0,3e-05,16361902.0,342692.0,63.0,66.21000000000001
232,4069.0,9.4e-05,15747841.0,222341.0,63.0,825.06
233,3875.0,0.0001,15732242.0,222024.0,61.0,844.755
234,4190.0,0.000147,15747243.0,228091.0,63.0,840.025
235,13868.0,3e-05,14611746.0,336530.0,65.0,66.33000000000001
236,14808.0,3e-05,16358208.0,317353.0,61.0,65.62
237,3853.0,0.000109,15457192.0,219525.0,65.0,819.635
238,3939.0,0.0001,13977240.0,218688.0,61.0,
24,4698.0,0.000116,15760275.0,254622.0,65.0,842.65
241,14334.0,3.1e-05,14672016.0,742427.0,69.0,
242,16985.0,3.2e-05,0.0,0.0,67.0,32.485
243,4457.0,8.7e-05,15756291.0,233662.0,61.0,835.595
244,4294.0,9.1e-05,16525067.0,226268.0,61.0,808.07
245,3846.0,0.000107,15633971.0,219337.0,61.0,856.385
246,3645.0,0.000107,13911928.0,214640.0,61.0,787.44
247,3788.0,9.6e-05,15563055.0,216099.0,63.0,777.78
248,14862.0,3e-05,16133314.0,327624.0,65.0,65.43
249,13918.0,3e-05,14622866.0,335131.0,67.0,53.785
25,4707.0,0.00012,15754124.0,248827.0,63.0,791.62
250,13668.0,3e-05,14614310.0,320695.0,65.0,65.695
251,3961.0,0.000125,15742713.0,219748.0,63.0,816.35
252,3940.0,0.000101,15749197.0,220191.0,63.0,838.175
253,4014.0,0.000146,15728298.0,224520.0,61.0,847.005
254,4253.0,0.00014,15737545.0,235426.0,65.0,828.8199999999999
255,4300.0,0.000116,14062682.0,242827.0,65.0,853.4300000000001
256,4359.0,0.0001245,15745688.0,237152.0,63.0,843.23
257,3732.0,0.000117,15322673.0,220964.0,65.0,796.0250000000001
258,3844.0,9.3e-05,15459531.0,221445.0,63.0,828.6949999999999
259,14703.0,2.9e-05,15756457.0,338097.0,67.0,66.705
26,4718.0,0.00012,15746738.0,253044.0,59.0,829.71
260,14731.0,3e-05,16358411.0,311250.0,63.0,
261,3951.0,0.000109,15421099.0,222818.0,65.0,857.98
262,3779.0,9.6e-05,15334694.0,219544.0,65.0,818.55
263,4135.0,0.00011,16530016.0,224286.0,63.0,829.9100000000001
264,4187.0,0.000128,15741882.0,233335.0,63.0,723.1700000000001
265,4049.0,9.25e-05,15745671.0,218615.0,65.0,729.64
266,3752.0,9.1e-05,13874191.0,219974.0,65.0,770.0250000000001
267,4179.0,0.000146,15729328.0,234056.0,61.0,781.525
268,14760.0,2.9e-05,16358021.0,314876.0,63.0,66.86500000000001
269,15434.0,2.9e-05,16349928.0,360861.0,61.0,
27,4494.0,0.000116,14719816.0,246362.0,61.0,805.55
270,15379.0,3e-05,16366262.0,356081.0,63.0,65.945
271,15174.0,3e-05,16369989.0,345117.0,61.0,
272,14086.0,5.4e-05,13222132.0,439635.0,63.0,19.689999999999998
273,15381.0,0.000108,14579449.0,466627.0,67.0,20.67
274,13619.0,3e-05,14609205.0,316978.0,65.0,66.625
275,15039.0,2.9e-05,16357386.0,336487.0,65.0,66.24000000000001
276,15187.0,3e-05,16360040.0,337520.0,63.0,66.14500000000001
277,13389.0,3e-05,14600556.0,305989.0,65.0,66.645
278,15270.0,2.9e-05,16363098.0,347986.0,65.0,65.93
279,14172.0,2.9e-05,15171242.0,328697.0,65.0,66.875
28,4822.0,0.00011,15745430.0,258842.0,63.0,741.33
280,15248.0,2.9e-05,16355149.0,344310.0,61.0,66.88499999999999
281,13532.0,2.9e-05,14595977.0,313057.0,65.0,66.745
282,15412.0,3e-05,16372410.0,350175.0,65.0,65.61
283,15024.0,2.9e-05,16361674.0,336443.0,63.0,67.39500000000001
284,15929.0,3e-05,17180717.0,350474.0,65.0,63.400000000000006
285,15335.0,3e-05,16355062.0,345469.0,63.0,65.72
286,14725.0,2.9e-05,16380271.0,318637.0,65.0,64.925
287,14677.0,2.9e-05,16358545.0,308136.0,65.0,65.66499999999999
288,4647.0,0.00011,15761402.0,252597.0,65.0,766.0
289,4749.0,0.000105,16535540.0,255925.0,63.0,758.415
29,4442.0,0.000112,14068025.0,244548.0,63.0,848.37
290,4102.0,0.000123,15730716.0,233882.0,65.0,855.925
291,4172.0,8.8e-05,15451740.0,224775.0,63.0,848.095
292,3985.0,0.000102,15742488.0,224474.0,63.0,781.965
293,3705.0,0.000118,13830806.0,219900.0,65.0,803.88
294,4133.0,9e-05,15749829.0,220341.0,63.0,804.465
295,3699.0,0.000112,15464949.0,224544.0,63.0,729.9449999999999
296,4356.0,0.000144,15740861.0,243640.0,63.0,728.96
297,3735.0,0.0001085,15717943.0,225620.0,63.0,736.05
298,3802.0,0.000161,15731121.0,224589.0,65.0,
299,4008.0,0.000115,0.0,0.0,65.0,671.1850000000001
3,15204.0,2.9e-05,16357606.0,346545.0,61.0,66.18
30,4488.0,0.000138,15750477.0,252469.0,61.0,835.755
300,13753.0,3e-05,14605912.0,335249.0,65.0,65.84
301,15619.0,2.9e-05,16359619.0,369790.0,63.0,66.28999999999999
302,4078.0,0.000156,15736438.0,229528.0,63.0,834.365
31,4587.0,0.000127,15744770.0,253409.0,65.0,811.36
32,4744.0,0.000104,15754870.0,256889.0,63.0,775.22
33,4694.0,0.000106,15757266.0,257902.0,61.0,799.385
34,4338.0,0.000158,15743991.0,237540.0,63.0,748.27
35,4541.0,0.000134,15778817.0,240478.0,65.0,777.505
36,4122.0,0.00017,15734358.0,236461.0,65.0,811.0450000000001
37,4092.0,0.000149,15735478.0,224495.0,63.0,821.23
38,4290.0,0.000168,15725413.0,240704.0,65.0,816.53
39,4219.0,0.000107,15739652.0,227432.0,63.0,806.8399999999999
4,13988.0,2.9e-05,14615807.0,343591.0,63.0,66.065
40,14986.0,3e-05,16365724.0,334835.0,63.0,65.065
41,14429.0,3e-05,14630431.0,380139.0,69.0,65.74
42,4112.0,7.9e-05,15738688.0,224342.0,63.0,783.635
43,3870.0,0.000102,15725787.0,226327.0,65.0,807.575
44,15213.0,3e-05,16374020.0,351037.0,67.0,66.21000000000001
45,14838.0,2.9e-05,16341028.0,318881.0,61.0,64.43
46,4780.0,0.000105,15771516.0,258256.0,63.0,806.155
47,4445.0,0.000136,15751413.0,237349.0,65.0,789.34
48,4843.0,0.00011,15768561.0,253826.0,63.0,800.495
49,4732.0,0.000121,15764039.0,251868.0,63.0,813.2149999999999
5,15331.0,2.9e-05,16366111.0,356059.0,61.0,65.22
50,4695.0,0.000117,15758409.0,248334.0,63.0,840.675
51,4675.0,0.000114,15745578.0,257749.0,61.0,763.655
52,4696.0,0.000106,15755274.0,252374.0,65.0,808.355
53,15227.0,3e-05,16371370.0,340355.0,65.0,66.995
54,4709.0,0.000108,15756459.0,255050.0,63.0,809.25
55,4608.0,0.000113,15760333.0,256951.0,63.0,815.935
56,15227.0,2.8e-05,16359640.0,353062.0,63.0,65.48
57,15173.0,2.8e-05,16359276.0,342201.0,65.0,54.92
58,4780.0,0.000123,15760098.0,253438.0,63.0,844.51
59,4752.0,0.000128,15751962.0,263501.0,63.0,828.97
6,3415.0,0.000138,14030472.0,213104.0,63.0,693.1700000000001
60,3904.0,0.000103,15030311.0,220108.0,61.0,793.425
61,4303.0,0.0001245,14064135.0,240885.0,61.0,770.73
62,4221.0,0.000116,15745016.0,233117.0,65.0,809.4449999999999
63,3844.0,0.000103,14031647.0,223716.0,63.0,824.705
64,15832.0,2.9e-05,17175951.0,351246.0,65.0,66.39
65,4000.0,9.7e-05,15729061.0,222565.0,63.0,788.005
66,4023.0,9.3e-05,15737798.0,227580.0,63.0,802.8
67,15622.0,3e-05,16355820.0,368098.0,65.0,66.175
68,13904.0,3.1e-05,14598921.0,330681.0,63.0,66.265
69,13943.0,3e-05,14611475.0,341132.0,67.0,43.475
7,4389.0,0.000132,15751263.0,229917.0,65.0,672.255
70,14096.0,3e-05,14626701.0,350651.0,63.0,64.68
71,4147.0,0.0001,15744562.0,228644.0,63.0,687.66
72,4833.0,0.000117,15808087.0,265994.0,67.0,794.02
73,4816.0,0.000123,15756898.0,261625.0,65.0,633.3299999999999
74,15082.0,3e-05,16370010.0,346049.0,65.0,65.25
75,14303.0,3e-05,14512487.0,367160.0,63.0,65.85
76,13776.0,3e-05,14602242.0,329926.0,63.0,65.82499999999999
77,16134.0,2.9e-05,17206636.0,397505.0,67.0,63.275000000000006
78,13907.0,3e-05,14618555.0,337054.0,65.0,65.72999999999999
79,15311.0,3e-05,16345919.0,353908.0,59.0,65.675
8,3848.0,9.6e-05,15729571.0,221809.0,65.0,748.11
80,14929.0,3e-05,16360701.0,325709.0,65.0,66.10499999999999
81,14978.0,2.9e-05,16349194.0,329476.0,61.0,66.94999999999999
82,14820.0,2.9e-05,16352203.0,318701.0,63.0,66.535
83,15172.0,3e-05,16360915.0,342718.0,65.0,66.69
84,13682.0,3e-05,14605918.0,322293.0,65.0,63.540000000000006
85,15566.0,2.9e-05,16356746.0,369432.0,65.0,64.725
86,16488.0,3.2e-05,16380207.0,438493.0,63.0,31.785
87,15178.0,2.9e-05,16359779.0,340954.0,63.0,66.86
88,15118.0,3e-05,16245042.0,336542.0,63.0,66.36500000000001
89,4206.0,7.9e-05,15750855.0,220774.0,65.0,788.9449999999999
9,3983.0,9.9e-05,15678355.0,227076.0,65.0,755.755
90,4734.0,0.00011,15801851.0,262857.0,67.0,465.69500000000005
91,13721.0,3e-05,14528863.0,335103.0,65.0,64.83000000000001
92,16173.0,3e-05,17204686.0,367376.0,63.0,66.60499999999999
93,15206.0,2.9e-05,16362618.0,343840.0,63.0,65.725
94,4338.0,0.000132,14063609.0,245938.0,63.0,812.6
95,4262.0,0.000139,15741190.0,234529.0,65.0,831.55
96,14408.0,3.8e-05,14543015.0,374485.0,63.0,21.105
97,3953.0,0.00011,14059079.0,226627.0,65.0,804.19
98,4185.0,0.000218,13989266.0,242012.0,63.0,
99,4914.0,0.000143,0.0,0.0,65.0,498.365
